SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
18073,248642,Self-Financed Merit Seat,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road, Pune",MBBS,Open,General,Allotted
18074,248666,Self-Financed Merit Seat,"Sri Siddhartha Medical College, Tumkur,SRI SIDDHARTHA MEDICAL COLLEGE B.H. ROAD, AGALAKOTE TUMKUR",MBBS,Open,OBC,Allotted
18075,248669,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
18076,248687,Self-Financed Merit Seat,"Sri Ramachandra Medical College & Research Institute, Chennai,No. One Ramachandra Nagar, Porur, Chennai.",MBBS,Open,OBC,Allotted
18077,248699,Self-Financed Merit Seat,"Mahatma Gandhi Mission Medical College, Vashi,Sector 30, Vashi, Navi Mumbai",MBBS,Open,General,Allotted
18078,248723,Self-Financed Merit Seat,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla Hyderabad",MBBS,Open,OBC,Allotted
18079,248775,Self-Financed Merit Seat,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba Bavada, Kolhapur 416006",MBBS,Open,OBC,Allotted
18080,248806,Self-Financed Merit Seat,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College Gabbur Cross Hubballi",MBBS,Open,General,Allotted
18081,248811,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,EWS,Allotted
18082,248868,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,General,Allotted
18083,248901,Self-Financed Merit Seat,"Manipal College of Dental Science, Mangalore,Light House Hill Road, Mangalore India",BDS,Open,General,Allotted
18084,248942,Self-Financed Merit Seat,"Mahatma Gandhi Mission Medical College, Vashi,Sector 30, Vashi, Navi Mumbai",MBBS,Open,General,Allotted
18085,248993,Self-Financed Merit Seat,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",MBBS,Open,General,Allotted
18086,249160,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,OBC,Allotted
18087,249173,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,General,Allotted
18088,249197,Self-Financed Merit Seat,"Mahatma Gandhi Mission Medical College, Vashi,Sector 30, Vashi, Navi Mumbai",MBBS,Open,General,Allotted
18089,249228,Self-Financed Merit Seat,"Mahatma Gandhi Mission Medical College, Vashi,Sector 30, Vashi, Navi Mumbai",MBBS,Open,General,Allotted
18090,249327,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
18091,249330,Self-Financed Merit Seat,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba Bavada, Kolhapur 416006",MBBS,Open,SC,Allotted
18092,249335,Self-Financed Merit Seat,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru Mysuru High Way,Kengeri Hobli, Bangalore, Karnataka",MBBS,Open,General,Allotted
18093,249352,Self-Financed Merit Seat,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Dakshina Kannada District , Post Deralakatte, Mangaluru",BDS,Open,General,Allotted
18094,249448,Self-Financed Merit Seat,"Mahatma Gandhi Mission Medical College, Vashi,Sector 30, Vashi, Navi Mumbai",MBBS,Open,General,Allotted
